latitude,longitude,frequency
42.409,-71.15,5
42.392,-71.141,22
42.291000000000004,-71.05,8
42.445,-71.141,5
42.336,-71.044,53
42.296,-71.122,24
42.364000000000004,-71.103,272
42.338,-71.014,707
42.364000000000004,-71.112,22
42.576,-71.229,3
42.639,-71.313,5
42.343,-71.045,7
42.334,-71.023,3
42.331,-71.118,37
42.357,-71.162,7
42.345,-71.096,360
42.441,-71.145,2
42.336,-71.188,15
42.353,-71.176,2
42.332,-71.131,37
42.339,-71.235,10
42.363,-71.116,57
42.445,-70.985,13
42.281,-71.037,6
42.329,-71.115,297
42.372,-71.09400000000001,151
42.481,-71.152,1
42.38,-71.118,15
42.312,-71.122,1
42.344,-71.099,12
42.334,-71.013,85
42.371,-71.196,17
42.338,-71.024,818
42.543,-71.171,4
42.342,-71.048,4
42.351,-71.08500000000001,303
42.333,-71.07300000000001,7
42.342,-71.299,3
42.342,-71.039,54
42.397,-71.144,39
42.363,-71.07000000000001,225
42.34,-71.238,29
42.315,-71.033,62
42.346000000000004,-71.043,976
42.431,-71.052,8
42.293,-71.128,111
42.379,-71.108,690
42.402,-71.147,12
42.363,-71.184,54
42.378,-71.084,3
42.36,-71.071,10564
42.997,-71.385,1
42.293,-71.07900000000001,2
42.416000000000004,-71.048,8
42.349000000000004,-71.102,1388
42.327,-71.045,6
42.326,-71.254,6
42.333,-71.11,20
42.333,-71.023,431
42.458,-71.065,7
42.338,-71.211,17
42.379,-71.066,28
42.362,-71.152,29
42.298,-71.104,785
42.316,-71.036,516
42.328,-71.044,5
42.291000000000004,-71.07600000000001,914
42.367000000000004,-71.062,623
42.46,-70.933,12
42.427,-71.035,6
42.305,-71.092,3
42.295,-71.048,1133
42.547000000000004,-71.105,1
42.293,-71.144,452
42.334,-71.089,64
42.278,-71.143,1116
42.344,-71.023,22
42.345,-71.066,109
42.859,-70.918,4
42.349000000000004,-71.083,681
42.263,-71.237,1
42.333,-71.115,8
43.113,-71.443,1
42.382,-71.081,1
43.086,-71.46000000000001,1
42.391,-71.103,1
42.324,-71.339,8
42.319,-71.266,5
42.322,-71.12,1685
42.336,-71.10000000000001,78
42.622,-71.301,3
43.192,-71.521,1
42.425000000000004,-71.186,14
42.299,-71.203,2
42.361000000000004,-71.061,6857
42.492000000000004,-71.134,2
42.287,-71.15,1
42.331,-71.032,22
42.411,-71.149,20
42.43,-71.028,10
42.475,-71.15,2
42.28,-71.05,1
42.387,-71.121,9
42.272,-71.142,475
42.334,-71.026,5
42.458,-71.045,65
42.355000000000004,-71.054,288
42.313,-71.041,1
42.493,-71.155,2
42.374,-71.06700000000001,93
42.574,-71.22500000000001,2
42.358000000000004,-71.059,7199
42.338,-71.025,994
42.273,-71.071,508
42.444,-71.138,1
42.262,-71.252,4
42.426,-71.039,8
42.26,-71.043,3
42.379,-71.125,20
42.462,-70.967,6
42.343,-71.098,31
42.369,-71.193,8
42.335,-71.111,595
42.323,-71.08500000000001,12
42.289,-71.107,97
42.989000000000004,-71.378,1
42.37,-71.107,127
42.33,-71.20100000000001,33
42.433,-71.147,6
42.381,-71.092,10
42.364000000000004,-71.054,1767
42.451,-71.137,3
42.372,-71.11,88
42.403,-71.135,3
42.456,-70.936,4
42.343,-71.107,60
42.275,-71.028,5
42.331,-71.069,7
42.376,-71.08800000000001,28
42.347,-71.07300000000001,142
42.292,-71.078,8
42.447,-71.229,18
42.504,-71.138,2
42.563,-71.199,1
42.269,-71.068,7
42.364000000000004,-71.058,491
42.459,-70.943,13
42.366,-71.139,120
42.375,-71.069,52
42.379,-71.056,3
42.36,-71.113,46
42.300000000000004,-71.288,32
42.684,-71.156,1
42.369,-71.07900000000001,10
42.258,-71.111,166
42.355000000000004,-71.07900000000001,8785
42.342,-71.046,3
42.294000000000004,-71.116,607
42.329,-71.096,15
42.367000000000004,-71.036,21
42.331,-71.178,1
42.358000000000004,-71.147,18
42.293,-71.121,53
42.329,-71.045,514
42.375,-71.214,14
42.449,-71.23,11
42.328,-71.229,11
42.333,-71.104,12
42.357,-71.13,23
